守,"守 protect  シュ  ス  まも.る to protect, guard  もり babysitting"
満,"満 full  マン  み.ちる to become full  み.たす to fill, fulfill"
消,消 extinguish  ショウ  け.す to extinguish  き.える to go out
任,任 responsibility  ニン  まか.す  まか.せる to entrust (to)
医,医 doctor  イ
蔵,蔵 storehouse  ゾウ  くら
止,止 stop  シ  と.める to stop  と.まる to stop
造,"造 build  ゾウ  つく.る to build, to produce"
居,"居 exist  キョ  い.る to exist, to be present"
離,"離 separate  リ  はな.れる to be separated, detached  はな.す to separate, to detach"
根,根 root  コン  ね
予,予 previously; in advance  ヨ
路,路 street  ロ  -じ
字,字 character  ジ  あざ village section
座,座 sit  ザ  すわ.る to sit
工,工 work  コウ  ク
寺,寺 temple  ジ  てら Buddhist temple
基,"基 foundation  キ  もと foundation, basis  もとい cause"
客,客 guest  キャク  カク
急,急 hurry  キュウ  いそ.ぐ to hurry
船,船 ship  セン  ふね  ふな-
図,"図 map  ト  ズ  はか.る to map, plan"
追,追 pursue  ツイ  お.う to pursue
隊,隊 squad  タイ
査,査 investigate  サ
背,背 back  ハイ  せ the back  せい height  そむ.く to disobey  そむ.ける to turn one's face away
観,観 outlook  カン
誰,誰 who  だれ
黒,黒 black  コク  くろ  くろ.い
素,素 element  ソ  ス
息,息 breath  ソク  いき
価,"価 price  カ  あたい price, value"
将,将 commander  ショウ
改,改 reform  カイ  あらた.める to reform  あらた.まる to be renewed; to be formal
県,県 prefecture  ケン
撃,"撃 trounce  ゲキ  う.つ to trounce, to beat"
失,失 lose  シツ  うしな.う to lose
泉,泉 spring  セン  いずみ
老,老 old  ロウ  お.いる  ふ.ける to grow old
良,良 good  リョウ  よ.い
示,示 show  ジ  シ  しめ.す to show
振,"振 wield  シン  ふ.る  ふ.れる to wield, swing, wave  ふ.るう to wield, swing; prosper"
号,号 nickname  ゴウ
像,像 statue  ゾウ
職,職 job  ショク
王,王 king  オウ
識,識 knowledge  シキ
警,警 admonish  ケイ
花,花 flower  カ  はな
優,優 excel  ユウ  すぐ.れる to excel  やさ.しい kind
投,投 throw  トウ  な.げる to throw (something)
英,英 England  エイ
細,"細 thin  サイ  ほそ.い  ほそ.る to get thin, taper off  こま.か  こま.かい detailed, fine"
局,局 office  キョク
難,難 difficult  ナン  むずか.しい  かた.い hard
種,種 variety  シュ  たね seed
証,証 evidence  ショウ
走,走 run  ソウ  はし.る
念,念 idea  ネン
寄,寄 draw near  キ  よ.る to draw near  よ.せる to bring near
商,"商 trader  ショウ  あきな.う to trade, deal in"
青,青 blue  セイ  ショウ  あお-  あお.い
谷,谷 valley  コク  たに
害,害 damaged  ガイ
奥,"奥 core  オウ  おく core, inner recess"
派,派 faction  ハ
僕,僕 me  ボク
佐,佐 help  サ
頼,"頼 rely  ライ  たよ.る to rely (on)  たの.もしい reliable  たの.む to ask(for), entrust"
横,横 side  オウ  よこ
友,友 friend  ユウ  とも
再,再 again  サイ  サ  ふたた.び
増,増 increase  ゾウ  ま.す to increase/grow  ふ.える to increase/multiply  ふ.やす to increase/augment
紀,紀 chronicle  キ
統,"統 govern  トウ  す.べる to govern, to control"
答,答 answer  トウ  こた.え an answer  こた.える to answer
差,"差 difference  サ  さ.す to put (up), to raise"
火,火 fire  カ  ひ  ほ-
苦,苦 bitter  ク  くる.しい painful  くる.しむ to suffer  くる.しめる to torment  にが.い  にが.る to feel bitter
